input,output,original_input,original_output,category_name,operations,spaced
m u n d o,d,mundo,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
t i e m p o,e,tiempo,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
d í a,y,día,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
n o c h e,t,noche,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
s e m a n a,k,semana,k,translate_sp_eng_last,translate_sp_eng+last_letter,True
m e s,h,mes,h,translate_sp_eng_last,translate_sp_eng+last_letter,True
a ñ o,r,año,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
h o y,y,hoy,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
m a ñ a n a,w,mañana,w,translate_sp_eng_last,translate_sp_eng+last_letter,True
a y e r,y,ayer,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
n i ñ o,d,niño,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
e s c u e l a,l,escuela,l,translate_sp_eng_last,translate_sp_eng+last_letter,True
e s t u d i a n t e,t,estudiante,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
p r o f e s o r,r,profesor,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
m a n z a n a,e,manzana,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
n a r a n j a,e,naranja,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
p e z,h,pez,h,translate_sp_eng_last,translate_sp_eng+last_letter,True
p á j a r o,d,pájaro,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
c a b a l l o,e,caballo,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
c a r t a,r,carta,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
p a l a b r a,d,palabra,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
f r a s e,e,frase,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
p á g i n a,e,página,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
m ú s i c a,c,música,c,translate_sp_eng_last,translate_sp_eng+last_letter,True
c a n c i ó n,g,canción,g,translate_sp_eng_last,translate_sp_eng+last_letter,True
b a i l e,e,baile,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
j u e g o,e,juego,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
d e p o r t e,t,deporte,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
p e l o t a,l,pelota,l,translate_sp_eng_last,translate_sp_eng+last_letter,True
m a n o,d,mano,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
p i e,t,pie,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
c a b e z a,d,cabeza,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
o j o,e,ojo,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
o r e j a,r,oreja,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
n a r i z,e,nariz,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
b o c a,h,boca,h,translate_sp_eng_last,translate_sp_eng+last_letter,True
c o r a z ó n,t,corazón,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
c e r e b r o,n,cerebro,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
c u e r p o,y,cuerpo,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
r o j o,d,rojo,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
a z u l,e,azul,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
v e r d e,n,verde,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
a m a r i l l o,w,amarillo,w,translate_sp_eng_last,translate_sp_eng+last_letter,True
n e g r o,k,negro,k,translate_sp_eng_last,translate_sp_eng+last_letter,True
b l a n c o,e,blanco,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
m o r a d o,e,morado,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
r o s a,k,rosa,k,translate_sp_eng_last,translate_sp_eng+last_letter,True
g r i s,y,gris,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
m a r r ó n,n,marrón,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
g r a n d e,g,grande,g,translate_sp_eng_last,translate_sp_eng+last_letter,True
p e q u e ñ o,l,pequeño,l,translate_sp_eng_last,translate_sp_eng+last_letter,True
c a l i e n t e,t,caliente,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
f r í o,d,frío,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
n u e v o,w,nuevo,w,translate_sp_eng_last,translate_sp_eng+last_letter,True
v i e j o,d,viejo,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
b u e n o,d,bueno,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
m a l o,d,malo,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
f e l i z,y,feliz,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
t r i s t e,d,triste,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
r á p i d o,t,rápido,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
l e n t o,w,lento,w,translate_sp_eng_last,translate_sp_eng+last_letter,True
f u e r t e,g,fuerte,g,translate_sp_eng_last,translate_sp_eng+last_letter,True
d é b i l,k,débil,k,translate_sp_eng_last,translate_sp_eng+last_letter,True
h e r m o s o,l,hermoso,l,translate_sp_eng_last,translate_sp_eng+last_letter,True
f e o,y,feo,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
j o v e n,g,joven,g,translate_sp_eng_last,translate_sp_eng+last_letter,True
r i c o,h,rico,h,translate_sp_eng_last,translate_sp_eng+last_letter,True
p o b r e,r,pobre,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
l i m p i o,n,limpio,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
s u c i o,y,sucio,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
f á c i l,y,fácil,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
d i f í c i l,t,difícil,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
l a r g o,g,largo,g,translate_sp_eng_last,translate_sp_eng+last_letter,True
c o r t o,t,corto,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
a l t o,h,alto,h,translate_sp_eng_last,translate_sp_eng+last_letter,True
b a j o,w,bajo,w,translate_sp_eng_last,translate_sp_eng+last_letter,True
a n c h o,e,ancho,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
e s t r e c h o,w,estrecho,w,translate_sp_eng_last,translate_sp_eng+last_letter,True
p e s a d o,y,pesado,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
l i g e r o,t,ligero,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
l l e n o,l,lleno,l,translate_sp_eng_last,translate_sp_eng+last_letter,True
v a c í o,y,vacío,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
d e r e c h o,t,derecho,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
i z q u i e r d o,t,izquierdo,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
a r r i b a,p,arriba,p,translate_sp_eng_last,translate_sp_eng+last_letter,True
a b a j o,n,abajo,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
d e n t r o,e,dentro,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
f u e r a,e,fuera,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
f r e n t e,t,frente,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
a t r á s,k,atrás,k,translate_sp_eng_last,translate_sp_eng+last_letter,True
c e r c a,r,cerca,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
l e j o s,r,lejos,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
p r i m e r o,t,primero,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
ú l t i m o,t,último,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
a b i e r t o,n,abierto,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
c e r r a d o,d,cerrado,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
u n o,e,uno,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
d o s,o,dos,o,translate_sp_eng_last,translate_sp_eng+last_letter,True
t r e s,e,tres,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
c u a t r o,r,cuatro,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
c i n c o,e,cinco,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
s e i s,x,seis,x,translate_sp_eng_last,translate_sp_eng+last_letter,True
s i e t e,n,siete,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
o c h o,t,ocho,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
n u e v e,e,nueve,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
d i e z,n,diez,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
c i e n,d,cien,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
m i l,d,mil,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
h e r m a n o,r,hermano,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
h e r m a n a,r,hermana,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
p a d r e,r,padre,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
m a d r e,r,madre,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
h i j o,n,hijo,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
h i j a,r,hija,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
e s p o s o,d,esposo,d,translate_sp_eng_last,translate_sp_eng+last_letter,True
e s p o s a,e,esposa,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
a b u e l o,r,abuelo,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
a b u e l a,r,abuela,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
t í o,e,tío,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
t í a,t,tía,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
p r i m o,n,primo,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
r e y,g,rey,g,translate_sp_eng_last,translate_sp_eng+last_letter,True
r e i n a,n,reina,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
p r í n c i p e,e,príncipe,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
p r i n c e s a,s,princesa,s,translate_sp_eng_last,translate_sp_eng+last_letter,True
h o m b r e,n,hombre,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
m u j e r,n,mujer,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
n i ñ a,l,niña,l,translate_sp_eng_last,translate_sp_eng+last_letter,True
b e b é,y,bebé,y,translate_sp_eng_last,translate_sp_eng+last_letter,True
m é d i c o,r,médico,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
e n f e r m e r a,e,enfermera,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
a b o g a d o,r,abogado,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
p o l i c í a,e,policía,e,translate_sp_eng_last,translate_sp_eng+last_letter,True
s o l d a d o,r,soldado,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
g r a n j e r o,r,granjero,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
t r a b a j a d o r,r,trabajador,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
a r t i s t a,t,artista,t,translate_sp_eng_last,translate_sp_eng+last_letter,True
m ú s i c o,n,músico,n,translate_sp_eng_last,translate_sp_eng+last_letter,True
c a n t a n t e,r,cantante,r,translate_sp_eng_last,translate_sp_eng+last_letter,True
r u n,R U N N I N G,run,RUNNING,gerund_upper,present_to_gerund+uppercase,True
s w i m,S W I M M I N G,swim,SWIMMING,gerund_upper,present_to_gerund+uppercase,True
w a l k,W A L K I N G,walk,WALKING,gerund_upper,present_to_gerund+uppercase,True
j u m p,J U M P I N G,jump,JUMPING,gerund_upper,present_to_gerund+uppercase,True
d a n c e,D A N C I N G,dance,DANCING,gerund_upper,present_to_gerund+uppercase,True
s i n g,S I N G I N G,sing,SINGING,gerund_upper,present_to_gerund+uppercase,True
r e a d,R E A D I N G,read,READING,gerund_upper,present_to_gerund+uppercase,True
w r i t e,W R I T I N G,write,WRITING,gerund_upper,present_to_gerund+uppercase,True
s l e e p,S L E E P I N G,sleep,SLEEPING,gerund_upper,present_to_gerund+uppercase,True
e a t,E A T I N G,eat,EATING,gerund_upper,present_to_gerund+uppercase,True
d r i n k,D R I N K I N G,drink,DRINKING,gerund_upper,present_to_gerund+uppercase,True
t a l k,T A L K I N G,talk,TALKING,gerund_upper,present_to_gerund+uppercase,True
l i s t e n,L I S T E N I N G,listen,LISTENING,gerund_upper,present_to_gerund+uppercase,True
t h i n k,T H I N K I N G,think,THINKING,gerund_upper,present_to_gerund+uppercase,True
w o r k,W O R K I N G,work,WORKING,gerund_upper,present_to_gerund+uppercase,True
p l a y,P L A Y I N G,play,PLAYING,gerund_upper,present_to_gerund+uppercase,True
s t u d y,S T U D Y I N G,study,STUDYING,gerund_upper,present_to_gerund+uppercase,True
l e a r n,L E A R N I N G,learn,LEARNING,gerund_upper,present_to_gerund+uppercase,True
t e a c h,T E A C H I N G,teach,TEACHING,gerund_upper,present_to_gerund+uppercase,True
b u i l d,B U I L D I N G,build,BUILDING,gerund_upper,present_to_gerund+uppercase,True
c r e a t e,C R E A T I N G,create,CREATING,gerund_upper,present_to_gerund+uppercase,True
p a i n t,P A I N T I N G,paint,PAINTING,gerund_upper,present_to_gerund+uppercase,True
d r a w,D R A W I N G,draw,DRAWING,gerund_upper,present_to_gerund+uppercase,True
c o o k,C O O K I N G,cook,COOKING,gerund_upper,present_to_gerund+uppercase,True
b a k e,B A K I N G,bake,BAKING,gerund_upper,present_to_gerund+uppercase,True
c l e a n,C L E A N I N G,clean,CLEANING,gerund_upper,present_to_gerund+uppercase,True
w a s h,W A S H I N G,wash,WASHING,gerund_upper,present_to_gerund+uppercase,True
d r i v e,D R I V I N G,drive,DRIVING,gerund_upper,present_to_gerund+uppercase,True
f l y,F L Y I N G,fly,FLYING,gerund_upper,present_to_gerund+uppercase,True
s a i l,S A I L I N G,sail,SAILING,gerund_upper,present_to_gerund+uppercase,True
c l i m b,C L I M B I N G,climb,CLIMBING,gerund_upper,present_to_gerund+uppercase,True
h i k e,H I K I N G,hike,HIKING,gerund_upper,present_to_gerund+uppercase,True
b i k e,B I K I N G,bike,BIKING,gerund_upper,present_to_gerund+uppercase,True
s k i,S K I I N G,ski,SKIING,gerund_upper,present_to_gerund+uppercase,True
s k a t e,S K A T I N G,skate,SKATING,gerund_upper,present_to_gerund+uppercase,True
f i s h,F I S H I N G,fish,FISHING,gerund_upper,present_to_gerund+uppercase,True
h u n t,H U N T I N G,hunt,HUNTING,gerund_upper,present_to_gerund+uppercase,True
c a m p,C A M P I N G,camp,CAMPING,gerund_upper,present_to_gerund+uppercase,True
t r a v e l,T R A V E L I N G,travel,TRAVELING,gerund_upper,present_to_gerund+uppercase,True
e x p l o r e,E X P L O R I N G,explore,EXPLORING,gerund_upper,present_to_gerund+uppercase,True
l a u g h,L A U G H I N G,laugh,LAUGHING,gerund_upper,present_to_gerund+uppercase,True
s m i l e,S M I L I N G,smile,SMILING,gerund_upper,present_to_gerund+uppercase,True
c r y,C R Y I N G,cry,CRYING,gerund_upper,present_to_gerund+uppercase,True
s h o u t,S H O U T I N G,shout,SHOUTING,gerund_upper,present_to_gerund+uppercase,True
w h i s p e r,W H I S P E R I N G,whisper,WHISPERING,gerund_upper,present_to_gerund+uppercase,True
l o v e,L O V I N G,love,LOVING,gerund_upper,present_to_gerund+uppercase,True
h a t e,H A T I N G,hate,HATING,gerund_upper,present_to_gerund+uppercase,True
h e l p,H E L P I N G,help,HELPING,gerund_upper,present_to_gerund+uppercase,True
s h a r e,S H A R I N G,share,SHARING,gerund_upper,present_to_gerund+uppercase,True
c a r e,C A R I N G,care,CARING,gerund_upper,present_to_gerund+uppercase,True
m e e t,M E E T I N G,meet,MEETING,gerund_upper,present_to_gerund+uppercase,True
s e e,S E E I N G,see,SEEING,gerund_upper,present_to_gerund+uppercase,True
h e a r,H E A R I N G,hear,HEARING,gerund_upper,present_to_gerund+uppercase,True
f e e l,F E E L I N G,feel,FEELING,gerund_upper,present_to_gerund+uppercase,True
s m e l l,S M E L L I N G,smell,SMELLING,gerund_upper,present_to_gerund+uppercase,True
t a s t e,T A S T I N G,taste,TASTING,gerund_upper,present_to_gerund+uppercase,True
t o u c h,T O U C H I N G,touch,TOUCHING,gerund_upper,present_to_gerund+uppercase,True
h o l d,H O L D I N G,hold,HOLDING,gerund_upper,present_to_gerund+uppercase,True
c a r r y,C A R R Y I N G,carry,CARRYING,gerund_upper,present_to_gerund+uppercase,True
t h r o w,T H R O W I N G,throw,THROWING,gerund_upper,present_to_gerund+uppercase,True
c a t c h,C A T C H I N G,catch,CATCHING,gerund_upper,present_to_gerund+uppercase,True
p u s h,P U S H I N G,push,PUSHING,gerund_upper,present_to_gerund+uppercase,True
p u l l,P U L L I N G,pull,PULLING,gerund_upper,present_to_gerund+uppercase,True
o p e n,O P E N I N G,open,OPENING,gerund_upper,present_to_gerund+uppercase,True
c l o s e,C L O S I N G,close,CLOSING,gerund_upper,present_to_gerund+uppercase,True
s t a r t,S T A R T I N G,start,STARTING,gerund_upper,present_to_gerund+uppercase,True
s t o p,S T O P P I N G,stop,STOPPING,gerund_upper,present_to_gerund+uppercase,True
b e g i n,B E G I N N I N G,begin,BEGINNING,gerund_upper,present_to_gerund+uppercase,True
e n d,E N D I N G,end,ENDING,gerund_upper,present_to_gerund+uppercase,True
f i n i s h,F I N I S H I N G,finish,FINISHING,gerund_upper,present_to_gerund+uppercase,True
s t a n d,S T A N D I N G,stand,STANDING,gerund_upper,present_to_gerund+uppercase,True
s i t,S I T T I N G,sit,SITTING,gerund_upper,present_to_gerund+uppercase,True
l i e,L Y I N G,lie,LYING,gerund_upper,present_to_gerund+uppercase,True
k n e e l,K N E E L I N G,kneel,KNEELING,gerund_upper,present_to_gerund+uppercase,True
b e n d,B E N D I N G,bend,BENDING,gerund_upper,present_to_gerund+uppercase,True
s t r e t c h,S T R E T C H I N G,stretch,STRETCHING,gerund_upper,present_to_gerund+uppercase,True
r e l a x,R E L A X I N G,relax,RELAXING,gerund_upper,present_to_gerund+uppercase,True
r e s t,R E S T I N G,rest,RESTING,gerund_upper,present_to_gerund+uppercase,True
w a i t,W A I T I N G,wait,WAITING,gerund_upper,present_to_gerund+uppercase,True
m o v e,M O V I N G,move,MOVING,gerund_upper,present_to_gerund+uppercase,True
l i v e,L I V I N G,live,LIVING,gerund_upper,present_to_gerund+uppercase,True
g i v e,G I V I N G,give,GIVING,gerund_upper,present_to_gerund+uppercase,True
t a k e,T A K I N G,take,TAKING,gerund_upper,present_to_gerund+uppercase,True
m a k e,M A K I N G,make,MAKING,gerund_upper,present_to_gerund+uppercase,True
c o m e,C O M I N G,come,COMING,gerund_upper,present_to_gerund+uppercase,True
l e a v e,L E A V I N G,leave,LEAVING,gerund_upper,present_to_gerund+uppercase,True
a r r i v e,A R R I V I N G,arrive,ARRIVING,gerund_upper,present_to_gerund+uppercase,True
b e l i e v e,B E L I E V I N G,believe,BELIEVING,gerund_upper,present_to_gerund+uppercase,True
a c h i e v e,A C H I E V I N G,achieve,ACHIEVING,gerund_upper,present_to_gerund+uppercase,True
r e c e i v e,R E C E I V I N G,receive,RECEIVING,gerund_upper,present_to_gerund+uppercase,True
d e c i d e,D E C I D I N G,decide,DECIDING,gerund_upper,present_to_gerund+uppercase,True
h o p e,H O P I N G,hope,HOPING,gerund_upper,present_to_gerund+uppercase,True
c h a n g e,C H A N G I N G,change,CHANGING,gerund_upper,present_to_gerund+uppercase,True
m a n a g e,M A N A G I N G,manage,MANAGING,gerund_upper,present_to_gerund+uppercase,True
i m p r o v e,I M P R O V I N G,improve,IMPROVING,gerund_upper,present_to_gerund+uppercase,True
p r a c t i c e,P R A C T I C I N G,practice,PRACTICING,gerund_upper,present_to_gerund+uppercase,True
n o t i c e,N O T I C I N G,notice,NOTICING,gerund_upper,present_to_gerund+uppercase,True
r e a l i z e,R E A L I Z I N G,realize,REALIZING,gerund_upper,present_to_gerund+uppercase,True
o r g a n i z e,O R G A N I Z I N G,organize,ORGANIZING,gerund_upper,present_to_gerund+uppercase,True
r e c o g n i z e,R E C O G N I Z I N G,recognize,RECOGNIZING,gerund_upper,present_to_gerund+uppercase,True
a p o l o g i z e,A P O L O G I Z I N G,apologize,APOLOGIZING,gerund_upper,present_to_gerund+uppercase,True
c r i t i c i z e,C R I T I C I Z I N G,criticize,CRITICIZING,gerund_upper,present_to_gerund+uppercase,True
a d v e r t i s e,A D V E R T I S I N G,advertise,ADVERTISING,gerund_upper,present_to_gerund+uppercase,True
e x e r c i s e,E X E R C I S I N G,exercise,EXERCISING,gerund_upper,present_to_gerund+uppercase,True
s u r p r i s e,S U R P R I S I N G,surprise,SURPRISING,gerund_upper,present_to_gerund+uppercase,True
p r o m i s e,P R O M I S I N G,promise,PROMISING,gerund_upper,present_to_gerund+uppercase,True
i m a g i n e,I M A G I N I N G,imagine,IMAGINING,gerund_upper,present_to_gerund+uppercase,True
e x a m i n e,E X A M I N I N G,examine,EXAMINING,gerund_upper,present_to_gerund+uppercase,True
d e t e r m i n e,D E T E R M I N I N G,determine,DETERMINING,gerund_upper,present_to_gerund+uppercase,True
c o n t i n u e,C O N T I N U I N G,continue,CONTINUING,gerund_upper,present_to_gerund+uppercase,True
a r g u e,A R G U I N G,argue,ARGUING,gerund_upper,present_to_gerund+uppercase,True
i s s u e,I S S U I N G,issue,ISSUING,gerund_upper,present_to_gerund+uppercase,True
r e s c u e,R E S C U I N G,rescue,RESCUING,gerund_upper,present_to_gerund+uppercase,True
p u r s u e,P U R S U I N G,pursue,PURSUING,gerund_upper,present_to_gerund+uppercase,True
v a l u e,V A L U I N G,value,VALUING,gerund_upper,present_to_gerund+uppercase,True
i n v i t e,I N V I T I N G,invite,INVITING,gerund_upper,present_to_gerund+uppercase,True
e x c i t e,E X C I T I N G,excite,EXCITING,gerund_upper,present_to_gerund+uppercase,True
u n i t e,U N I T I N G,unite,UNITING,gerund_upper,present_to_gerund+uppercase,True
c o m p e t e,C O M P E T I N G,compete,COMPETING,gerund_upper,present_to_gerund+uppercase,True
c o m p l e t e,C O M P L E T I N G,complete,COMPLETING,gerund_upper,present_to_gerund+uppercase,True
d e l e t e,D E L E T I N G,delete,DELETING,gerund_upper,present_to_gerund+uppercase,True
g r e e t,G R E E T I N G,greet,GREETING,gerund_upper,present_to_gerund+uppercase,True
r e p e a t,R E P E A T I N G,repeat,REPEATING,gerund_upper,present_to_gerund+uppercase,True
d e f e a t,D E F E A T I N G,defeat,DEFEATING,gerund_upper,present_to_gerund+uppercase,True
t r e a t,T R E A T I N G,treat,TREATING,gerund_upper,present_to_gerund+uppercase,True
r e l a t e,R E L A T I N G,relate,RELATING,gerund_upper,present_to_gerund+uppercase,True
c e l e b r a t e,C E L E B R A T I N G,celebrate,CELEBRATING,gerund_upper,present_to_gerund+uppercase,True
d e m o n s t r a t e,D E M O N S T R A T I N G,demonstrate,DEMONSTRATING,gerund_upper,present_to_gerund+uppercase,True
h e s i t a t e,H E S I T A T I N G,hesitate,HESITATING,gerund_upper,present_to_gerund+uppercase,True
a p p r e c i a t e,A P P R E C I A T I N G,appreciate,APPRECIATING,gerund_upper,present_to_gerund+uppercase,True
c o m m u n i c a t e,C O M M U N I C A T I N G,communicate,COMMUNICATING,gerund_upper,present_to_gerund+uppercase,True
e d u c a t e,E D U C A T I N G,educate,EDUCATING,gerund_upper,present_to_gerund+uppercase,True
i n v e s t i g a t e,I N V E S T I G A T I N G,investigate,INVESTIGATING,gerund_upper,present_to_gerund+uppercase,True
c o n c e n t r a t e,C O N C E N T R A T I N G,concentrate,CONCENTRATING,gerund_upper,present_to_gerund+uppercase,True
c o o p e r a t e,C O O P E R A T I N G,cooperate,COOPERATING,gerund_upper,present_to_gerund+uppercase,True
d e c o r a t e,D E C O R A T I N G,decorate,DECORATING,gerund_upper,present_to_gerund+uppercase,True
o p e r a t e,O P E R A T I N G,operate,OPERATING,gerund_upper,present_to_gerund+uppercase,True
s e p a r a t e,S E P A R A T I N G,separate,SEPARATING,gerund_upper,present_to_gerund+uppercase,True
p a r t i c i p a t e,P A R T I C I P A T I N G,participate,PARTICIPATING,gerund_upper,present_to_gerund+uppercase,True
n a v i g a t e,N A V I G A T I N G,navigate,NAVIGATING,gerund_upper,present_to_gerund+uppercase,True
m o t i v a t e,M O T I V A T I N G,motivate,MOTIVATING,gerund_upper,present_to_gerund+uppercase,True
a c t i v a t e,A C T I V A T I N G,activate,ACTIVATING,gerund_upper,present_to_gerund+uppercase,True
i l l u s t r a t e,I L L U S T R A T I N G,illustrate,ILLUSTRATING,gerund_upper,present_to_gerund+uppercase,True
c a l c u l a t e,C A L C U L A T I N G,calculate,CALCULATING,gerund_upper,present_to_gerund+uppercase,True
t r a n s l a t e,T R A N S L A T I N G,translate,TRANSLATING,gerund_upper,present_to_gerund+uppercase,True
a c c e l e r a t e,A C C E L E R A T I N G,accelerate,ACCELERATING,gerund_upper,present_to_gerund+uppercase,True
d o m i n a t e,D O M I N A T I N G,dominate,DOMINATING,gerund_upper,present_to_gerund+uppercase,True
e l i m i n a t e,E L I M I N A T I N G,eliminate,ELIMINATING,gerund_upper,present_to_gerund+uppercase,True
f a s c i n a t e,F A S C I N A T I N G,fascinate,FASCINATING,gerund_upper,present_to_gerund+uppercase,True
g e n e r a t e,G E N E R A T I N G,generate,GENERATING,gerund_upper,present_to_gerund+uppercase,True
i m i t a t e,I M I T A T I N G,imitate,IMITATING,gerund_upper,present_to_gerund+uppercase,True
i r r i t a t e,I R R I T A T I N G,irritate,IRRITATING,gerund_upper,present_to_gerund+uppercase,True
m e d i t a t e,M E D I T A T I N G,meditate,MEDITATING,gerund_upper,present_to_gerund+uppercase,True
n e g o t i a t e,N E G O T I A T I N G,negotiate,NEGOTIATING,gerund_upper,present_to_gerund+uppercase,True
p e n e t r a t e,P E N E T R A T I N G,penetrate,PENETRATING,gerund_upper,present_to_gerund+uppercase,True
r a d i a t e,R A D I A T I N G,radiate,RADIATING,gerund_upper,present_to_gerund+uppercase,True
r o t a t e,R O T A T I N G,rotate,ROTATING,gerund_upper,present_to_gerund+uppercase,True
s t i m u l a t e,S T I M U L A T I N G,stimulate,STIMULATING,gerund_upper,present_to_gerund+uppercase,True
t o l e r a t e,T O L E R A T I N G,tolerate,TOLERATING,gerund_upper,present_to_gerund+uppercase,True
v a l i d a t e,V A L I D A T I N G,validate,VALIDATING,gerund_upper,present_to_gerund+uppercase,True
v i b r a t e,V I B R A T I N G,vibrate,VIBRATING,gerund_upper,present_to_gerund+uppercase,True
a n t i c i p a t e,A N T I C I P A T I N G,anticipate,ANTICIPATING,gerund_upper,present_to_gerund+uppercase,True
c o n t e m p l a t e,C O N T E M P L A T I N G,contemplate,CONTEMPLATING,gerund_upper,present_to_gerund+uppercase,True
c o o r d i n a t e,C O O R D I N A T I N G,coordinate,COORDINATING,gerund_upper,present_to_gerund+uppercase,True
c u l t i v a t e,C U L T I V A T I N G,cultivate,CULTIVATING,gerund_upper,present_to_gerund+uppercase,True
d e d i c a t e,D E D I C A T I N G,dedicate,DEDICATING,gerund_upper,present_to_gerund+uppercase,True
d e s i g n a t e,D E S I G N A T I N G,designate,DESIGNATING,gerund_upper,present_to_gerund+uppercase,True
d e v i a t e,D E V I A T I N G,deviate,DEVIATING,gerund_upper,present_to_gerund+uppercase,True
e s c a l a t e,E S C A L A T I N G,escalate,ESCALATING,gerund_upper,present_to_gerund+uppercase,True
e v a l u a t e,E V A L U A T I N G,evaluate,EVALUATING,gerund_upper,present_to_gerund+uppercase,True
